e_id;geo_name;loc;geonamesid;time;time_norm;actor
2098;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;summer;1961-01-01;Bob Simpson
2099;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;1956;1956-01-01;Denis Compton
2100;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;1956;1956-01-01;Don Bradman
2101;Johannesburg;[u'-26.145 28.050277777778'];993800;1966;1966-01-01;Bob Cowper
2102;West Bengal;[u'22.566666666667 88.366666666667'];1252881;last day;1937-02-11;Doug Walters
2103;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;1968;1968-01-01;Barry Jarman
2104;Headingley Stadium;[u'53.817661 -1.581978'];;1964;1964-01-01;Peter Pollock
2105;Melbourne;[u'-37.820555555556 144.96138888889'];2158177;11 February 1937;1937-02-11;Billy Hughes
2106;Adelaide;[u'-34.933333333333 138.58333333333'];2078025;1969;1969-01-01;Wes Hall
2107;Adelaide;[u'-34.933333333333 138.58333333333'];2078025;1969;1969-01-01;Charlie Griffith
2108;Edgbaston Cricket Ground;[u'52.4558 -1.90249'];;1956;1956-01-01;Bob Simpson
2109;Edgbaston Cricket Ground;[u'52.4558 -1.90249'];;The following day;1937-02-12;Fred Trueman
2110;Edgbaston Cricket Ground;[u'52.4558 -1.90249'];;The following day;1937-02-12;Brian Statham
2111;Edgbaston Cricket Ground;[u'52.4558 -1.90249'];;The following day;1937-02-12;Peter Burge
2112;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;1964;1964-01-01;B. S. Chandrasekhar
2113;Thornbury;[u'-37.76 145.007'];8348734;11 February 1937;1937-02-11;Billy Hughes
2114;Melbourne Cricket Ground;[u'-37.82 144.98333333333'];6615561;1963;1963-01-01;Richie Benaud
2115;Melbourne Cricket Ground;[u'-37.82 144.98333333333'];6615561;1963;1963-01-01;Ian Meckiff
2116;West Indies;[u'21.98333333 -79.03333333'];3571219;1964;1964-01-01;Wes Hall
2117;West Indies;[u'21.98333333 -79.03333333'];3571219;1965;1965-01-01;Arthur Morris
2118;Sri Lanka;[u'7 81'];1227603;1969;1969-01-01;Srinivasaraghavan Venkataraghavan
2119;Old Trafford Cricket Ground;[u'53.456347222222 -2.2867611111111'];6691425;1964;1964-01-01;Peter Pollock
2120;South Africa;[u'-29 24'];953987;1969;1969-01-01;Ian Chappell
2121;South Africa;[u'-29 24'];953987;1969;1969-01-01;Alan McGilvray
2122;Indian subcontinent;[u'20 78'];6269134;1964;1964-01-01;B. S. Chandrasekhar
2123;The Oval;[u'51.483719444444 -0.11498055555556'];6545167;1962;1962-01-01;Neil Harvey
2124;Bridgetown;[u'13.096111111111 -59.608333333333'];3374036;1964;1964-01-01;Wes Hall
2125;Communist Party of India;[u'28.631669444444 77.238097222222'];;last day;1937-02-11;Doug Walters
2126;Melbourne;[u'-37.820555555556 144.96138888889'];2158177;Two days earlier;1937-02-09;Sam Loxton
2127;Melbourne;[u'-37.820555555556 144.96138888889'];2158177;Two days earlier;1937-02-09;Paul Sheahan
2128;Perth;[u'-31.952222222222 115.85888888889'];2063523;summer;1937-01-01;M. J. K. Smith
2129;South Africa;[u'-29 24'];953987;1970;1970-01-01;Brian Taber
2130;South Africa;[u'-29 24'];953987;winter;1947-01-01;John Snow
2131;South Africa;[u'-29 24'];953987;winter;1947-01-01;Tony Greig
2132;Chieti;[u'42.351113888889 14.167427777778'];6542118;January 31, 1853;1853-01-31;Stanislao Lista
2133;Chieti;[u'42.351113888889 14.167427777778'];6542118;January 31, 1853;1853-01-31;Leo XIII
2134;Chieti;[u'42.351113888889 14.167427777778'];6542118;January 31, 1853;1853-01-31;Lola Mora
2135;Chieti;[u'42.351113888889 14.167427777778'];6542118;January 31, 1853;1853-01-31;Francesco Paolo Michetti
2136;Accademia di Belle Arti di Napoli;[u'40.8516 14.2512'];;January 31, 1853;1853-01-31;Stanislao Lista
2137;Meaux;[u'48.959444444444 2.8877777777778'];2994798;11 August;0670-08-11;Anne of Austria
2138;Meaux;[u'48.959444444444 2.8877777777778'];2994798;11 August;0670-08-11;Jacques-Bénigne Bossuet
2139;Meaux;[u'48.959444444444 2.8877777777778'];2994798;11 August;0670-08-11;Vincent de Paul
2140;Meaux;[u'48.959444444444 2.8877777777778'];2994798;11 August;0670-08-11;Cardinal Richelieu
2141;Meaux;[u'48.959444444444 2.8877777777778'];2994798;18 August 670;0670-08-01;Saint Faro
2142;Saint-Fiacre;[u'48.9225 2.9538888888889'];6613810;18 August 670;0670-08-01;Saint Faro
2143;Irish National Stud;[u'53.14455 -6.901495'];;11 August;0670-08-11;Anne of Austria
2144;Breuil;[u'49.310555555556 3.7666666666667'];6616931;18 August 670;0670-08-01;Saint Faro
2145;County Kilkenny;[u'52.583333333333 -7.25'];2963397;18 August 670;0670-08-01;Saint Faro
2146;Roman Catholic Diocese of Meaux;[u'48.9602 2.87975'];;18 August 670;0670-08-01;Saint Faro
2147;Brie;[u'48.666666666667 3'];8521427;18 August 670;0670-08-01;Saint Faro
2148;Europe;[u'46 7'];6255148;1945;1945-01-01;Adolph Alexander Weinman
2149;Asia;[u'46.28333333 86.66666667'];6255147;1945;1945-01-01;Adolph Alexander Weinman
2150;Switzerland;[u'46.798562 8.231973'];2658434;1980;1980-01-01;Manuel Saumell
2151;Switzerland;[u'46.798562 8.231973'];2658434;Christmas;1980-12-25;Tata Güines
2152;Switzerland;[u'46.798562 8.231973'];2658434;Christmas;1980-12-25;Descemer Bueno
2153;Switzerland;[u'46.798562 8.231973'];2658434;1980;1980-01-01;Pablo Milanés
2154;Switzerland;[u'46.798562 8.231973'];2658434;1980;1980-01-01;Norah Jones
2155;Auburn University;[u'32.603374 -85.486078'];4830811;June 4, 1975;1975-06-04;Rahm Emanuel
2156;Auburn University;[u'32.603374 -85.486078'];4830811;June 4, 1975;1975-06-04;Sandi Jackson
2157;South Shore;[u'41.76 -87.58'];4912013;June 4, 1975;1975-06-04;Rahm Emanuel
2158;Alabama State University;[u'32.364 -86.295'];4829755;June 4, 1975;1975-06-04;Rahm Emanuel
2159;Chicago–Kent College of Law;[u'41.87861111 -87.64222222'];4887543;June 4, 1975;1975-06-04;Rahm Emanuel
2160;Glen Ellyn, Illinois;[u'41.871111111111 -88.063055555556'];4893811;June 4, 1975;1975-06-04;Rahm Emanuel
2161;University of Illinois at Chicago;[u'41.871889 -87.64925'];4914535;June 4, 1975;1975-06-04;Rahm Emanuel
2162;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Owain Gwynedd
2163;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Henry II of England
